iter	Passed	Remaining
0	153	153092
1	154	77095
2	155	51768
3	156	39064
4	158	31442
5	159	26381
6	160	22767
7	161	20055
8	162	17945
9	164	16246
10	166	14948
11	167	13815
12	168	12827
13	170	11982
14	171	11256
15	172	10616
16	173	10059
17	175	9552
18	176	9106
19	177	8702
20	178	8341
21	180	8045
22	182	7755
23	183	7471
24	184	7207
25	186	6968
26	187	6745
27	188	6538
28	189	6343
29	190	6162
30	191	5996
31	193	5839
32	194	5691
33	196	5577
34	197	5456
35	199	5333
36	200	5215
37	201	5106
38	202	4998
39	203	4894
40	205	4798
41	206	4704
42	207	4621
43	209	4542
44	210	4474
45	212	4404
46	213	4330
47	214	4258
48	215	4190
49	217	4127
50	218	4063
51	219	4002
52	220	3943
53	221	3885
54	222	3831
55	225	3796
56	226	3747
57	227	3699
58	229	3654
59	230	3608
60	231	3563
61	232	3519
62	233	3476
63	234	3436
64	236	3395
65	237	3357
66	238	3325
67	240	3296
68	242	3267
69	243	3233
70	244	3200
71	245	3167
72	246	3135
73	248	3104
74	249	3076
75	250	3046
76	251	3017
77	252	2988
78	254	2969
79	256	2950
80	257	2925
81	259	2901
82	259	2871
83	261	2849
84	263	2831
85	264	2806
86	265	2784
87	266	2762
88	267	2742
89	269	2727
90	271	2711
91	272	2691
92	273	2671
93	275	2651
94	276	2631
95	277	2612
96	278	2593
97	279	2574
98	280	2557
99	282	2541
100	284	2530
101	285	2517
102	287	2500
103	288	2484
104	289	2468
105	290	2452
106	292	2437
107	293	2422
108	294	2407
109	295	2392
110	298	2389
111	299	2375
112	300	2362
113	302	2348
114	303	2334
115	304	2320
116	305	2305
117	306	2292
118	307	2279
119	308	2265
120	310	2252
121	311	2239
122	315	2247
123	317	2243
124	319	2236
125	321	2229
126	322	2220
127	324	2208
128	325	2197
129	326	2185
130	328	2176
131	329	2166
132	330	2155
133	331	2144
134	333	2133
135	334	2122
136	335	2112
137	336	2101
138	337	2092
139	338	2082
140	340	2073
141	341	2065
142	343	2056
143	344	2046
144	345	2036
145	346	2028
146	348	2021
147	350	2015
148	351	2006
149	352	1997
150	353	1989
151	357	1992
152	358	1987
153	360	1982
154	362	1977
155	364	1972
156	366	1966
157	367	1959
158	369	1954
159	371	1949
160	372	1940
161	373	1933
162	374	1924
163	376	1916
164	377	1909
165	378	1901
166	379	1893
167	380	1886
168	382	1878
169	383	1871
170	385	1866
171	387	1863
172	388	1857
173	389	1850
174	390	1842
175	392	1835
176	393	1828
177	394	1820
178	395	1813
179	396	1807
180	397	1800
181	399	1793
182	401	1790
183	402	1785
184	403	1778
185	404	1771
186	406	1765
187	407	1759
188	408	1752
189	409	1746
190	411	1741
191	412	1735
192	413	1728
193	415	1724
194	416	1719
195	418	1714
196	419	1708
197	420	1702
198	421	1696
199	422	1690
200	423	1685
201	425	1679
202	426	1673
203	427	1668
204	428	1662
205	431	1664
206	432	1658
207	434	1653
208	435	1647
209	436	1642
210	437	1637
211	439	1633
212	440	1628
213	441	1623
214	443	1617
215	445	1616
216	446	1611
217	447	1606
218	448	1601
219	450	1595
220	451	1591
221	452	1586
222	453	1581
223	454	1576
224	456	1571
225	457	1566
226	459	1564
227	460	1560
228	462	1555
229	463	1550
230	464	1546
231	465	1541
232	466	1536
233	468	1532
234	469	1527
235	470	1523
236	471	1518
237	473	1514
238	474	1511
239	476	1507
240	477	1503
241	478	1498
242	479	1493
243	480	1489
244	482	1485
245	483	1480
246	484	1476
247	485	1471
248	486	1467
249	488	1465
250	489	1461
251	491	1457
252	492	1453
253	493	1449
254	494	1445
255	495	1441
256	497	1436
257	498	1432
258	499	1428
259	500	1424
260	501	1420
261	503	1418
262	505	1416
263	506	1411
264	507	1407
265	508	1403
266	509	1400
267	511	1395
268	512	1391
269	513	1388
270	514	1384
271	515	1380
272	517	1377
273	518	1374
274	520	1371
275	521	1368
276	522	1364
277	524	1361
278	525	1357
279	526	1353
280	527	1349
281	528	1346
282	530	1342
283	531	1339
284	533	1337
285	534	1334
286	536	1332
287	537	1329
288	539	1327
289	540	1324
290	541	1320
291	543	1317
292	544	1313
293	545	1310
294	547	1308
295	548	1305
296	550	1302
297	551	1299
298	552	1295
299	553	1292
300	554	1288
301	556	1285
302	557	1282
303	558	1278
304	559	1275
305	561	1272
306	562	1270
307	564	1267
308	565	1265
309	567	1262
310	568	1259
311	569	1256
312	570	1252
313	571	1249
314	572	1246
315	574	1242
316	575	1239
317	576	1237
318	578	1235
319	580	1232
320	581	1229
321	582	1226
322	583	1222
323	584	1219
324	585	1216
325	587	1213
326	588	1210
327	591	1211
328	592	1208
329	593	1205
330	594	1202
331	595	1199
332	597	1196
333	598	1193
334	599	1190
335	600	1186
336	601	1183
337	602	1180
338	605	1180
339	606	1177
340	607	1174
341	609	1171
342	610	1168
343	611	1165
344	612	1163
345	613	1160
346	614	1157
347	615	1154
348	617	1151
349	618	1148
350	620	1147
351	621	1144
352	622	1141
353	623	1138
354	624	1135
355	626	1132
356	627	1129
357	628	1127
358	629	1124
359	631	1121
360	632	1119
361	634	1118
362	635	1115
363	637	1113
364	638	1110
365	639	1107
366	640	1105
367	642	1102
368	643	1099
369	644	1096
370	645	1094
371	646	1091
372	647	1089
373	649	1087
374	650	1084
375	652	1082
376	653	1079
377	654	1077
378	655	1074
379	656	1071
380	658	1069
381	659	1066
382	660	1063
383	663	1064
384	666	1064
385	668	1063
386	670	1061
387	671	1059
388	673	1057
389	674	1054
390	675	1052
391	676	1049
392	679	1049
393	680	1047
394	682	1044
395	683	1042
396	684	1039
397	685	1036
398	686	1034
399	687	1031
400	689	1029
401	690	1027
402	691	1024
403	694	1024
404	695	1022
405	696	1019
406	698	1017
407	699	1015
408	701	1013
409	702	1010
410	703	1007
411	704	1005
412	705	1003
413	707	1000
414	708	998
415	709	995
416	710	993
417	711	991
418	712	988
419	714	986
420	715	983
421	716	981
422	717	979
423	719	976
424	720	974
425	722	973
426	723	971
427	725	969
428	726	966
429	727	964
430	728	962
431	729	959
432	731	957
433	732	955
434	733	952
435	734	950
436	737	950
437	738	947
438	739	945
439	740	942
440	742	940
441	743	938
442	744	935
443	745	933
444	746	931
445	747	929
446	749	926
447	751	926
448	752	923
449	754	921
450	755	919
451	756	916
452	757	914
453	758	912
454	759	910
455	761	907
456	762	905
457	763	903
458	764	901
459	766	899
460	767	897
461	768	895
462	770	893
463	771	891
464	772	888
465	773	886
466	774	884
467	776	882
468	777	880
469	778	877
470	780	876
471	781	874
472	783	872
473	784	870
474	785	868
475	786	865
476	788	864
477	789	862
478	790	860
479	791	857
480	793	855
481	795	855
482	797	853
483	798	851
484	799	849
485	800	846
486	801	844
487	803	842
488	804	840
489	805	838
490	806	836
491	807	833
492	809	832
493	810	830
494	812	828
495	813	826
496	814	824
497	815	822
498	816	820
499	818	818
500	819	815
501	820	813
502	821	811
503	822	809
504	825	808
505	826	806
506	827	804
507	828	802
508	829	800
509	830	797
510	831	795
511	832	793
512	833	791
513	834	788
514	835	786
515	836	784
516	837	781
517	839	781
518	840	779
519	841	776
520	842	774
521	843	772
522	844	770
523	845	767
524	846	765
525	847	763
526	848	761
527	849	759
528	850	756
529	851	754
530	852	752
531	854	751
532	855	749
533	856	747
534	857	745
535	858	743
536	859	740
537	860	738
538	861	736
539	861	734
540	862	732
541	863	729
542	864	727
543	865	725
544	866	723
545	868	722
546	870	720
547	871	718
548	872	716
549	872	714
550	873	712
551	874	710
552	875	707
553	876	705
554	877	703
555	878	701
556	879	699
557	880	697
558	881	695
559	883	694
560	885	692
561	886	690
562	887	689
563	888	687
564	889	684
565	890	682
566	891	680
567	892	678
568	893	676
569	894	674
570	895	672
571	896	670
572	899	670
573	900	668
574	902	666
575	903	664
576	904	663
577	905	661
578	906	659
579	908	657
580	909	656
581	912	655
582	914	653
583	915	652
584	916	650
585	918	648
586	919	646
587	920	645
588	921	643
589	922	641
590	923	639
591	925	637
592	927	636
593	929	635
594	930	633
595	931	631
596	932	629
597	932	627
598	933	625
599	934	623
600	935	621
601	936	619
602	937	617
603	938	615
604	939	613
605	940	611
606	942	610
607	943	608
608	944	606
609	945	604
610	946	602
611	947	600
612	948	598
613	949	596
614	949	594
615	950	592
616	952	590
617	952	589
618	953	587
619	954	585
620	956	584
621	957	582
622	958	580
623	959	578
624	960	576
625	961	574
626	962	572
627	963	570
628	964	568
629	965	566
630	966	565
631	967	563
632	968	561
633	969	559
634	971	558
635	972	556
636	973	554
637	974	552
638	975	550
639	976	549
640	976	547
641	977	545
642	978	543
643	979	541
644	980	539
645	981	538
646	982	536
647	983	534
648	985	533
649	986	531
650	987	529
651	988	527
652	989	525
653	990	524
654	991	522
655	992	520
656	993	518
657	994	516
658	995	514
659	996	513
660	997	511
661	998	509
662	999	507
663	1001	506
664	1002	504
665	1002	503
666	1003	501
667	1004	499
668	1005	497
669	1006	495
670	1007	494
671	1008	492
672	1009	490
673	1010	488
674	1011	487
675	1012	485
676	1014	484
677	1015	482
678	1016	480
679	1017	478
680	1018	477
681	1019	475
682	1020	473
683	1021	471
684	1022	470
685	1024	469
686	1026	467
687	1027	466
688	1029	464
689	1030	463
690	1031	461
691	1032	459
692	1033	457
693	1034	456
694	1035	454
695	1036	452
696	1037	451
697	1038	449
698	1039	447
699	1040	445
700	1042	444
701	1043	442
702	1044	441
703	1045	439
704	1046	437
705	1047	436
706	1048	434
707	1049	432
708	1050	431
709	1051	429
710	1051	427
711	1052	425
712	1053	424
713	1054	422
714	1056	421
715	1058	419
716	1059	418
717	1060	416
718	1060	414
719	1061	412
720	1062	411
721	1063	409
722	1064	407
723	1065	406
724	1066	404
725	1067	402
726	1068	401
727	1069	399
728	1072	398
729	1073	396
730	1074	395
731	1074	393
732	1075	391
733	1076	390
734	1077	388
735	1078	386
736	1079	385
737	1080	383
738	1081	381
739	1082	380
740	1083	378
741	1084	376
742	1086	375
743	1087	374
744	1088	372
745	1089	371
746	1090	369
747	1091	367
748	1092	366
749	1093	364
750	1094	362
751	1095	361
752	1096	359
753	1097	358
754	1098	356
755	1099	354
756	1101	353
757	1102	352
758	1104	350
759	1105	349
760	1106	347
761	1107	345
762	1108	344
763	1108	342
764	1109	340
765	1110	339
766	1111	337
767	1112	336
768	1113	334
769	1115	333
770	1117	331
771	1118	330
772	1118	328
773	1119	326
774	1120	325
775	1121	323
776	1122	322
777	1123	320
778	1124	319
779	1125	317
780	1126	315
781	1127	314
782	1128	312
783	1130	311
784	1131	309
785	1132	308
786	1133	306
787	1134	305
788	1135	303
789	1136	302
790	1137	300
791	1138	298
792	1139	297
793	1140	295
794	1140	294
795	1141	292
796	1142	291
797	1145	289
798	1146	288
799	1147	286
800	1148	285
801	1150	284
802	1151	282
803	1152	280
804	1153	279
805	1154	277
806	1155	276
807	1156	274
808	1157	273
809	1159	272
810	1160	270
811	1161	268
812	1162	267
813	1163	265
814	1164	264
815	1165	262
816	1166	261
817	1167	259
818	1168	258
819	1169	256
820	1170	255
821	1171	253
822	1172	252
823	1174	250
824	1175	249
825	1176	247
826	1177	246
827	1178	244
828	1179	243
829	1180	241
830	1181	240
831	1182	238
832	1183	237
